3
1000 2
500 500
0.07780090186435466 0.03890045093217733
1 0 0 0 1 0 0 0 1 
T T T 
0.6895452471682839 0.6396800513528624 0.7810313120248968 0.03890045093217733
0.8322202574254659 0.9383802766822636 0.5874530483974302 0.03890045093217733
0.1480472693655293 0.8557119972203094 0.312010553995318 0.03890045093217733
0.8614496192857137 0.2383167804284134 0.5515525348010806 0.03890045093217733
0.5653234348838716 0.2778246486158708 0.4730579895131323 0.03890045093217733
0.8024439254194885 0.7424045551279379 0.3376599100164844 0.03890045093217733
0.9823795665848295 0.02783541346512798 0.4563172812526559 0.03890045093217733
0.7478136019888757 0.9090241244025657 0.7155757964412942 0.03890045093217733
0.1133270648370432 0.604988198196442 0.5804190395375306 0.03890045093217733
0.4722877118695169 0.4057171975339253 0.8983850564675233 0.03890045093217733
0.9144626241515846 0.6805830438700196 0.3282969391443415 0.03890045093217733
0.6672202241170945 0.5973473388757198 0.6991025329188798 0.03890045093217733
0.889037587136971 0.04576962101009473 0.2829872228913963 0.03890045093217733
0.8593548324045366 0.1692324030748487 0.8905576725454145 0.03890045093217733
0.7357844710849419 0.1584915226193654 0.4739744693747087 0.03890045093217733
0.05893722970002255 0.8925901878251808 0.8302462198033844 0.03890045093217733
0.03338195509599239 0.08915245684037748 0.6352112323679198 0.03890045093217733
0.7735091340938912 0.5594558704652186 0.6049648713767202 0.03890045093217733
0.5599609106586189 0.135014820449811 0.926848720410554 0.03890045093217733
0.8884076160410403 0.693439743113038 0.6728967567303237 0.03890045093217733
0.9311376042111926 0.9192458645418443 0.1072206317130119 0.03890045093217733
0.5044543855969841 0.6210591234361849 0.7109506007426122 0.03890045093217733
0.892533311993889 0.4058369554441828 0.5127584706059861 0.03890045093217733
0.06249903313724388 0.7170132585679562 0.7639297603378302 0.03890045093217733
0.9150058405568982 0.3738394374101937 0.1346049770779313 0.03890045093217733
0.6306728860562815 0.327644778066549 0.2077791122214891 0.03890045093217733
0.8083522849724595 0.87795714887698 0.5338328037179805 0.03890045093217733
0.3903467792733076 0.931236017660279 0.03757831691305517 0.03890045093217733
0.6832937651589592 0.9459175174151614 0.4828829327952424 0.03890045093217733
0.7926583717790685 0.1312012999255387 0.04479068656911549 0.03890045093217733
0.7316598712088043 0.8182800732985382 0.2196262474895807 0.03890045093217733
0.4793271855086944 0.9633744013171733 0.7224654413270859 0.03890045093217733
0.3172711106781705 0.9270366816459599 0.8647914775356391 0.03890045093217733
0.1968024557251855 0.6472196843888005 0.5369500416888887 0.03890045093217733
0.1339813223821017 0.1878608258411149 0.6410789798109789 0.03890045093217733
0.117090647681547 0.6230522127745241 0.04742352628009857 0.03890045093217733
0.09003896935933592 0.3224042165426558 0.2797987868803352 0.03890045093217733
0.1358936117508726 0.0927548566247573 0.3700084825961584 0.03890045093217733
0.7913961590260979 0.2020471185418882 0.94734030431724 0.03890045093217733
0.4983958362801508 0.1283098599788446 0.8181966050499055 0.03890045093217733
0.9579845137267067 0.4662600182217957 0.5391075623677045 0.03890045093217733
0.8351861568648681 0.8283944964837739 0.2760364058078854 0.03890045093217733
0.9448497397226836 0.5417010201962871 0.07441709523856613 0.03890045093217733
0.4506963024477986 0.5196898985082689 0.8485550051765942 0.03890045093217733
0.1135550158378762 0.6887218042575498 0.2822255144151093 0.03890045093217733
0.279433753857198 0.6364079088108926 0.5097565029629617 0.03890045093217733
0.9117550333012009 0.5587500506384806 0.8402567251873339 0.03890045093217733
0.7485272064493769 0.9676993089389815 0.7694952643994895 0.03890045093217733
0.5271403582877773 0.3443131405785886 0.2430673263660214 0.03890045093217733
0.194124351745653 0.4557780208276681 0.97596874400783 0.03890045093217733
0.3833999811117399 0.5270350226422438 0.1660059134645797 0.03890045093217733
0.3007554641447677 0.7800184330733692 0.6630265658761451 0.03890045093217733
0.8888428091747058 0.601883610687335 0.2998439892594911 0.03890045093217733
0.6011026136601925 0.1567338028583722 0.5748151645210062 0.03890045093217733
0.2059626169733683 0.1288046219755932 0.3046852199012928 0.03890045093217733
0.4154979754023602 0.7170212381457473 0.8515321372346334 0.03890045093217733
0.7361828229073698 0.5858979338593571 0.05684990052117954 0.03890045093217733
0.03335999284085954 0.0979030227557392 0.7255913001375471 0.03890045093217733
0.956627846911869 0.3631603805066763 0.9947171262111797 0.03890045093217733
0.006787585433910949 0.8023271283568421 0.5911495227612401 0.03890045093217733
0.09024617741621993 0.2783474040305774 0.9335859343167107 0.03890045093217733
0.5139695791638814 0.2064522614041492 0.6793171323138186 0.03890045093217733
0.2981487630080736 0.155609201785919 0.8637577899822552 0.03890045093217733
0.7038997909589317 0.8732550804046301 0.6048959510188828 0.03890045093217733
0.2823669740930804 0.2765589827679466 0.9656729727356508 0.03890045093217733
0.4636634915719999 0.5534748562818766 0.9733053612002587 0.03890045093217733
0.4468540472426681 0.701336565991487 0.3292588629768486 0.03890045093217733
0.7692055929936108 0.1248520909183242 0.8157527404964712 0.03890045093217733
0.6591847695081675 0.9647408763934556 0.5629756279091087 0.03890045093217733
0.6969843098253665 0.7297502529283275 0.9087024803283928 0.03890045093217733
0.9543038544184158 0.7626544748533018 0.3089338000457392 0.03890045093217733
0.6649338828092231 0.2595731030251005 0.9066987902928964 0.03890045093217733
